workload,operation,protocol,consistency,cluster,latency
a,READ,cassandra,ONE,asia-south1,6.03442
a,READ,cassandra,ONE,europe-north1,4.7444
a,READ,cassandra,ONE,southamerica-east1,8.51761
a,READ,cassandra,QUORUM,asia-south1,394.338
a,READ,cassandra,QUORUM,europe-north1,351.06
a,READ,cassandra,QUORUM,southamerica-east1,277.909
a,READ,cassandra,SERIAL,asia-south1,1197.56
a,READ,cassandra,SERIAL,europe-north1,744.638
a,READ,cassandra,SERIAL,southamerica-east1,745.469
a,READ,accord,SERIAL,asia-south1,762.684
a,READ,accord,SERIAL,europe-north1,622.851
a,READ,accord,SERIAL,southamerica-east1,632.451
a,UPDATE,cassandra,ONE,asia-south1,6.14761
a,UPDATE,cassandra,ONE,europe-north1,4.60171
a,UPDATE,cassandra,ONE,southamerica-east1,7.91897
a,UPDATE,cassandra,QUORUM,asia-south1,382.36
a,UPDATE,cassandra,QUORUM,europe-north1,233.418
a,UPDATE,cassandra,QUORUM,southamerica-east1,236.507
a,UPDATE,cassandra,SERIAL,asia-south1,1203.76
a,UPDATE,cassandra,SERIAL,europe-north1,739.444
a,UPDATE,cassandra,SERIAL,southamerica-east1,787.806
a,UPDATE,accord,SERIAL,asia-south1,789.128
a,UPDATE,accord,SERIAL,europe-north1,772.909
a,UPDATE,accord,SERIAL,southamerica-east1,790.057
b,READ,cassandra,ONE,asia-south1,4.15472
b,READ,cassandra,ONE,europe-north1,2.84134
b,READ,cassandra,ONE,southamerica-east1,4.55788
b,READ,cassandra,QUORUM,asia-south1,385.682
b,READ,cassandra,QUORUM,europe-north1,348.491
b,READ,cassandra,QUORUM,southamerica-east1,266.106
b,READ,cassandra,SERIAL,asia-south1,1166.95
b,READ,cassandra,SERIAL,europe-north1,722.643
b,READ,cassandra,SERIAL,southamerica-east1,714.827
b,READ,accord,SERIAL,asia-south1,766.262
b,READ,accord,SERIAL,europe-north1,615.013
b,READ,accord,SERIAL,southamerica-east1,617.459
b,UPDATE,cassandra,ONE,asia-south1,5.3941
b,UPDATE,cassandra,ONE,europe-north1,3.78055
b,UPDATE,cassandra,ONE,southamerica-east1,5.34863
b,UPDATE,cassandra,QUORUM,asia-south1,384.139
b,UPDATE,cassandra,QUORUM,europe-north1,235.018
b,UPDATE,cassandra,QUORUM,southamerica-east1,235.26
b,UPDATE,cassandra,SERIAL,asia-south1,1206.43
b,UPDATE,cassandra,SERIAL,europe-north1,761.324
b,UPDATE,cassandra,SERIAL,southamerica-east1,834.429
b,UPDATE,accord,SERIAL,asia-south1,776.258
b,UPDATE,accord,SERIAL,europe-north1,768.049
b,UPDATE,accord,SERIAL,southamerica-east1,779.043
c,READ,cassandra,ONE,asia-south1,3.64097
c,READ,cassandra,ONE,europe-north1,2.68842
c,READ,cassandra,ONE,southamerica-east1,4.71625
c,READ,cassandra,QUORUM,asia-south1,381.138
c,READ,cassandra,QUORUM,europe-north1,342.095
c,READ,cassandra,QUORUM,southamerica-east1,265.59
c,READ,cassandra,SERIAL,asia-south1,1171.28
c,READ,cassandra,SERIAL,europe-north1,720.089
c,READ,cassandra,SERIAL,southamerica-east1,716.956
c,READ,accord,SERIAL,asia-south1,751.859
c,READ,accord,SERIAL,europe-north1,607.629
c,READ,accord,SERIAL,southamerica-east1,618.286
d,READ,cassandra,ONE,asia-south1,4.16961
d,READ,cassandra,ONE,europe-north1,3.02952
d,READ,cassandra,ONE,southamerica-east1,4.5579
d,READ,cassandra,QUORUM,asia-south1,385.976
d,READ,cassandra,QUORUM,europe-north1,354.964
d,READ,cassandra,QUORUM,southamerica-east1,271.34
d,READ,cassandra,SERIAL,asia-south1,1256.55
d,READ,cassandra,SERIAL,europe-north1,784.81
d,READ,cassandra,SERIAL,southamerica-east1,789.576
d,READ,accord,SERIAL,asia-south1,753.116
d,READ,accord,SERIAL,europe-north1,609.549
d,READ,accord,SERIAL,southamerica-east1,622.016
d,INSERT,cassandra,ONE,asia-south1,5.28465
d,INSERT,cassandra,ONE,europe-north1,3.52615
d,INSERT,cassandra,ONE,southamerica-east1,5.13436
d,INSERT,cassandra,QUORUM,asia-south1,380.099
d,INSERT,cassandra,QUORUM,europe-north1,232.592
d,INSERT,cassandra,QUORUM,southamerica-east1,233.537
d,INSERT,cassandra,SERIAL,asia-south1,1267.04
d,INSERT,cassandra,SERIAL,europe-north1,831.366
d,INSERT,cassandra,SERIAL,southamerica-east1,850.017
d,INSERT,accord,SERIAL,asia-south1,781.72
d,INSERT,accord,SERIAL,europe-north1,755.922
d,INSERT,accord,SERIAL,southamerica-east1,775.694
e,INSERT,cassandra,ONE,asia-south1,15.7798
e,INSERT,cassandra,ONE,europe-north1,8.50482
e,INSERT,cassandra,ONE,southamerica-east1,17.463
e,INSERT,cassandra,QUORUM,asia-south1,384.207
e,INSERT,cassandra,QUORUM,europe-north1,232.157
e,INSERT,cassandra,QUORUM,southamerica-east1,235.521
e,INSERT,cassandra,SERIAL,asia-south1,1150.24
e,INSERT,cassandra,SERIAL,europe-north1,718.071
e,INSERT,cassandra,SERIAL,southamerica-east1,717.318
e,INSERT,accord,SERIAL,asia-south1,802.326
e,INSERT,accord,SERIAL,europe-north1,826.641
e,INSERT,accord,SERIAL,southamerica-east1,804.286
