region,loc,lat,lon
us-east-1,Ashburn,39.043800,-77.487400
us-east-2,Columbus,39.961200,-82.998800
us-west-1,SanFrancisco,37.774900,-122.419400
us-west-2,Boardman,45.839900,-119.700600
ca-central-1,Montreal,45.501700,-73.567300
ca-west-1,Calgary,51.044700,-114.071900
mx-central-1,Queretaro,20.588800,-100.389900
sa-east-1,Osasco,-23.532500,-46.791700
eu-west-1,Dublin,53.349800,-6.260300
eu-west-2,London,51.507400,-0.127800
eu-west-3,Paris,48.856600,2.352200
eu-central-1,Frankfurt,50.110900,8.682100
eu-central-2,Zurich,47.376900,8.541700
eu-north-1,Stockholm,59.329300,18.068600
eu-south-1,Milan,45.464200,9.190000
eu-south-2,Zaragoza,41.648800,-0.889100
af-south-1,CapeTown,-33.924900,18.424100
me-south-1,Manama,26.066700,50.557700
me-central-1,Dubai,25.204800,55.270800
ap-east-1,HongKong,22.319300,114.169400
ap-east-2,Taipei,25.033000,121.565400
ap-south-1,Mumbai,19.076000,72.877700
ap-south-2,Hyderabad,17.385000,78.486700
ap-southeast-1,Singapore,1.352100,103.819800
ap-southeast-2,Sydney,-33.868800,151.209300
ap-southeast-3,Jakarta,-6.208800,106.845600
ap-southeast-4,Melbourne,-37.813600,144.963100
ap-southeast-5,KualaLumpur,3.139000,101.686900
ap-southeast-6,Auckland,-36.848500,174.763300
ap-southeast-7,Bangkok,13.756300,100.501800
ap-northeast-1,Tokyo,35.689500,139.691700
ap-northeast-2,Seoul,37.566500,126.978000
ap-northeast-3,Osaka,34.693700,135.502300
il-central-1,TelAviv,32.085300,34.781800
