region,loc,lat,lon
africa-south1,Johannesburg,-26.204100,28.047300
asia-east1,Changhua,24.081800,120.538700
asia-east2,HongKong,22.319300,114.169400
asia-northeast1,Tokyo,35.689487,139.691711
asia-northeast2,Osaka,34.693700,135.502300
asia-northeast3,Seoul,37.566500,126.978000
asia-south1,Mumbai,19.075983,72.877655
asia-south2,Delhi,28.613900,77.209000
asia-southeast1,Singapore,1.340400,103.709000
asia-southeast2,Jakarta,-6.208800,106.845600
australia-southeast1,Sydney,-33.868800,151.209300
australia-southeast2,Melbourne,-37.813600,144.963100
europe-central2,Warsaw,52.229700,21.012200
europe-north1,Hamina,60.569300,27.187800
europe-southwest1,Madrid,40.416800,-3.703800
europe-west1,StGhislain,50.454200,3.820600
europe-west2,London,51.507351,-0.127758
europe-west3,Frankfurt,50.110900,8.682100
europe-west4,Eemshaven,53.438600,6.833900
europe-west6,Zurich,47.376900,8.541700
europe-west8,Milan,45.464200,9.190000
europe-west9,Paris,48.856600,2.352200
europe-west10,Berlin,52.520000,13.405000
europe-west12,Turin,45.070300,7.686900
me-central1,Doha,25.285400,51.531000
me-central2,Dammam,26.420700,50.088800
me-west1,TelAviv,32.085300,34.781800
northamerica-northeast1,Montreal,45.501700,-73.567300
northamerica-northeast2,Toronto,43.653200,-79.383200
northamerica-south1,Queretaro,20.588800,-100.389900
southamerica-east1,Osasco,-23.532500,-46.791700
southamerica-west1,Santiago,-33.448900,-70.669300
us-central1,CouncilBluffs,41.261900,-95.860800
us-east1,MoncksCorner,33.196000,-79.998700
us-east4,Ashburn,39.043800,-77.487400
us-east5,Columbus,39.961200,-82.998800
us-south1,Dallas,32.776665,-96.796989
us-west1,TheDalles,45.594600,-121.178700
us-west2,LosAngeles,34.052200,-118.243700
us-west3,SaltLakeCity,40.760800,-111.891000
us-west4,LasVegas,36.169900,-115.139800
